metric,estimate,lower_95_ci,upper_95_ci
Brier_score,0.019297133592057494,0.01739469225653818,0.02113904573457395
log_loss,0.09325427196470745,0.08562508721203796,0.10067032722783432
AUROC,0.6890136723920274,0.6619207598182579,0.7143498962046297
AUPRC,0.045954697716488024,0.038194690497137286,0.05857286258121632
calibration_in_the_large,-0.0008894252991627975,-0.11534099727374186,0.09572223310951121
calibration_intercept,-0.45083405315311,-0.9571512173343446,0.014621395040707575
calibration_slope,0.8774199976155591,0.7510729985314657,1.0028692703232596
