model,original_CITL,original_calibration_slope,intercept_only_delta_Brier,intercept_slope_delta_Brier,slope_incremental_delta_Brier,slope_incremental_Brier_lower_95_ci,slope_incremental_Brier_upper_95_ci
Ridge Logistic Regression,-0.5999912606029604,0.5455217139038242,-0.00019606423986199238,-0.0002570254163922932,-6.0961176530300795e-05,-0.00010406158416386446,-2.2483014776084756e-05
Elastic-Net Logistic Regression,-0.4575698487972994,0.6161110135590017,-0.00010829108618826133,-0.0001681626333646987,-5.9871547176437376e-05,-0.00010624311677936751,-2.0804461587882865e-05
LightGBM,-0.5417156557443488,1.0701088570457638,-6.514292855952682e-05,-6.297303655004166e-05,2.1698920094851554e-06,-2.064550596472207e-06,6.2284565832395345e-06
