metric,estimate,lower_95_ci,upper_95_ci
Brier_score,0.01926674570877343,0.017366159510028522,0.021124908429682888
log_loss,0.09276499150788897,0.08505330318955494,0.10016806998539074
AUROC,0.6953511690536389,0.6689493813724774,0.7199220339269269
AUPRC,0.04588914872079085,0.03815396111605799,0.05727166334632754
calibration_in_the_large,0.001993016836565592,-0.11108340338849293,0.10084086218802785
calibration_intercept,-0.06620408581892381,-0.5588124700838524,0.3827987510782557
calibration_slope,0.9814526629389214,0.8504713681223417,1.102757300044229
