model,Brier_score_system_a,log_loss_system_a,AUROC_system_a,AUPRC_system_a,calibration_in_the_large_system_a,calibration_intercept_system_a,calibration_slope_system_a,Brier_score_system_b,log_loss_system_b,AUROC_system_b,AUPRC_system_b,calibration_in_the_large_system_b,calibration_intercept_system_b,calibration_slope_system_b,delta_AUROC,delta_calibration_in_the_large,delta_calibration_intercept,delta_calibration_slope
Ridge Logistic Regression,0.0193612127128026,0.0937157924506089,0.6845472909933514,0.042631752153363,-0.0020075416096705,-0.6700999646692437,0.8180272325358142,0.009881557525751112,0.0567426754017163,0.6098362602186941,0.015569832491353849,-0.5999912606029632,-2.36423483016259,0.5455217139038256,-0.07471103077465735,-0.5979837189932926,-1.6941348654933464,-0.2725055186319886
Elastic-Net Logistic Regression,0.0192971335920574,0.0932542719647074,0.6890136723920274,0.045954697716488,-0.0008894252991627,-0.45083405315311,0.8774199976155591,0.009791044154072745,0.05545898185843386,0.6170927965727764,0.01650471867275815,-0.4575698487973026,-1.999667743549621,0.6161110135590037,-0.071920875819251,-0.4566804234981399,-1.5488336903965112,-0.26130898405655545
LightGBM,0.0192667457087734,0.0927649915078889,0.6953511690536389,0.0458891487207908,0.0019930168365655,-0.0662040858189238,0.9814526629389214,0.009670266598734942,0.054842554610269316,0.653790724353986,0.0205403098889247,-0.5417156557443521,-0.266115816811215,1.0701088570457662,-0.04156044469965292,-0.5437086725809176,-0.1999117309922912,0.08865619410684478
