metric,estimate,lower_95_ci,upper_95_ci
lgbm_vs_ridge_delta_Brier,-9.446700402925001e-05,-0.00019971925441116906,3.6054054279175215e-06
lgbm_vs_ridge_delta_log_loss,-0.000950800942719987,-0.0019946925457787782,8.426124632094381e-05
lgbm_vs_ridge_delta_AUROC,0.010803878060287486,-0.007440995010801898,0.02969988215566057
lgbm_vs_ridge_delta_AUPRC,0.0032573965674278435,-0.0037577049346771297,0.010114191735651356
lgbm_vs_elastic_delta_Brier,-3.038788328406372e-05,-0.00013046210389698105,6.659151962801548e-05
lgbm_vs_elastic_delta_log_loss,-0.0004892804568184805,-0.0014380967911497722,0.00044850921898721946
lgbm_vs_elastic_delta_AUROC,0.006337496661611541,-0.01020768046210764,0.023522476520691688
lgbm_vs_elastic_delta_AUPRC,-6.55489956971761e-05,-0.007949057505471785,0.006742581792753085
