metric,estimate,lower_95_ci,upper_95_ci
Brier_score,0.01936121271280268,0.017455294096218658,0.02121473521375757
log_loss,0.09371579245060896,0.08602267138046342,0.10118314773094277
AUROC,0.6845472909933514,0.6577325893785826,0.7094649381784209
AUPRC,0.042631752153363005,0.03584168197929457,0.053672560644675286
calibration_in_the_large,-0.0020075416096705604,-0.11493623275370643,0.09495862302954994
calibration_intercept,-0.6700999646692437,-1.156191575194665,-0.22976487653139865
calibration_slope,0.8180272325358142,0.6952469336840623,0.9383673986698372
