model,strategy,Brier_score,log_loss,AUROC,AUPRC,calibration_in_the_large,calibration_intercept,calibration_slope,mean_predicted_risk
Ridge Logistic Regression,Original,0.009881557525751112,0.05674267540171629,0.6098362602186941,0.015569832491353849,-0.5999912606029604,-2.364234830162594,0.5455217139038242,0.017444055175683704
Ridge Logistic Regression,Intercept only,0.00968549328588912,0.054647656663880245,0.6098462081524922,0.015570776924053039,-1.9406185054781283e-06,-2.0369444597996633,0.5455178874675412,0.009731972661205438
Ridge Logistic Regression,Intercept + slope,0.009624532109358819,0.054092512728742964,0.6080331169925149,0.015307931551645398,-3.7484169079020115e-05,-0.11522215578493195,0.9746994324351579,0.009732314795920736
Elastic-Net Logistic Regression,Original,0.009791044154072745,0.05545898185843385,0.6170927965727764,0.01650471867275815,-0.4575698487972994,-1.9996677435496266,0.6161110135590017,0.015200906115482287
Elastic-Net Logistic Regression,Intercept only,0.009682753067884483,0.054298721136005396,0.617081244133527,0.016503535595770693,-1.0644616289682795e-05,-1.7179058493438386,0.6160784550932603,0.009732055570101907
Elastic-Net Logistic Regression,Intercept + slope,0.009622881520708046,0.05393871460307426,0.615232853853621,0.016252242827857314,6.018453603489987e-06,-0.0992751724541114,0.9781199146265648,0.009731896307154727
LightGBM,Original,0.009670266598734942,0.05484255461026929,0.653790724353986,0.0205403098889247,-0.5417156557443488,-0.2661158168112221,1.0701088570457638,0.016568114222941636
LightGBM,Intercept only,0.009605123670175415,0.05315156350999308,0.6537815786729135,0.02053405249736509,-1.0730747357691699e-05,0.31334315995412293,1.0700587234292998,0.009732057189222276
LightGBM,Intercept + slope,0.0096072935621849,0.05316577791512623,0.6521777150237869,0.020487273199969458,-8.501517540576975e-05,-0.026000301406368276,0.9941921709696135,0.0097327696323389
