model,strategy,delta_Brier,delta_log_loss,delta_AUROC,delta_AUPRC,calibration_in_the_large_after,calibration_intercept_after,calibration_slope_after
Ridge Logistic Regression,Intercept only,-0.00019606423986199238,-0.0020950187378360463,9.947933798160058e-06,9.444326991899649e-07,-1.9406185054781283e-06,-2.0369444597996633,0.5455178874675412
Ridge Logistic Regression,Intercept + slope,-0.0002570254163922932,-0.0026501626729733274,-0.001803143226179138,-0.0002619009397084506,-3.7484169079020115e-05,-0.11522215578493195,0.9746994324351579
Elastic-Net Logistic Regression,Intercept only,-0.00010829108618826133,-0.0011602607224284536,-1.155243924932936e-05,-1.1830769874564273e-06,-1.0644616289682795e-05,-1.7179058493438386,0.6160784550932603
Elastic-Net Logistic Regression,Intercept + slope,-0.0001681626333646987,-0.0015202672553595864,-0.0018599427191553497,-0.00025247584490083533,6.018453603489987e-06,-0.0992751724541114,0.9781199146265648
LightGBM,Intercept only,-6.514292855952682e-05,-0.0016909911002762068,-9.145681072464384e-06,-6.25739155961022e-06,-1.0730747357691699e-05,0.31334315995412293,1.0700587234292998
LightGBM,Intercept + slope,-6.297303655004166e-05,-0.001676776695143059,-0.0016130093301991444,-5.303668895524291e-05,-8.501517540576975e-05,-0.026000301406368276,0.9941921709696135
