metric,estimate,lower_95_ci,upper_95_ci
lgbm_vs_ridge_delta_Brier,-0.00021129092701616982,-0.0002997498774230696,-0.0001330244923251753
lgbm_vs_ridge_delta_log_loss,-0.0019001207914469825,-0.002657420256356114,-0.0012031811734518987
lgbm_vs_ridge_delta_AUROC,0.043954464135291915,0.012101099072581115,0.07599038117390834
lgbm_vs_ridge_delta_AUPRC,0.004970477397570852,-5.887706116246091e-05,0.010685585231156383
lgbm_vs_elastic_delta_Brier,-0.00012077755533780252,-0.00020667721759469725,-4.834126155952133e-05
lgbm_vs_elastic_delta_log_loss,-0.0006164272481645472,-0.001435834624632514,9.186626395851473e-05
lgbm_vs_elastic_delta_AUROC,0.036697927781209616,0.00733839297060796,0.06900639889346176
lgbm_vs_elastic_delta_AUPRC,0.0040355912161665515,-0.0004188031217486452,0.009679381084721838
