model,metric,estimate,lower_95_ci,upper_95_ci
Ridge Logistic Regression,delta_Brier,-6.0961176530300795e-05,-0.00010406158416386446,-2.2483014776084756e-05
Ridge Logistic Regression,delta_log_loss,-0.0005551439351372811,-0.0010140310824216087,-9.378598955909809e-05
Elastic-Net Logistic Regression,delta_Brier,-5.9871547176437376e-05,-0.00010624311677936751,-2.0804461587882865e-05
Elastic-Net Logistic Regression,delta_log_loss,-0.00036000653293113277,-0.0007533166143035043,2.9640544104885056e-05
LightGBM,delta_Brier,2.1698920094851554e-06,-2.064550596472207e-06,6.2284565832395345e-06
LightGBM,delta_log_loss,1.4214405133147756e-05,-5.171766034731198e-05,7.902383659168908e-05
